               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  85,             0.11786,           0.0068088,                   0,             0.76875,             0.58089,             0.62952,             0.22061,             0.10348,           0.0037997,                   0,            0.001684,            0.001684,            0.001684
                  86,             0.11773,            0.006881,                   0,             0.76967,             0.58246,             0.63082,             0.22163,             0.10344,           0.0037996,                   0,            0.001585,            0.001585,            0.001585
                  87,             0.11777,           0.0068589,                   0,             0.77065,             0.58309,             0.63175,             0.22242,             0.10338,           0.0038009,                   0,            0.001486,            0.001486,            0.001486
                  88,             0.11754,           0.0068539,                   0,             0.77108,              0.5838,             0.63256,             0.22296,             0.10334,           0.0038004,                   0,            0.001387,            0.001387,            0.001387
                  89,             0.11766,           0.0069069,                   0,             0.77292,             0.58357,             0.63358,             0.22328,              0.1033,           0.0038006,                   0,            0.001288,            0.001288,            0.001288
                  90,             0.11736,            0.006849,                   0,             0.77128,             0.58506,             0.63425,             0.22386,             0.10326,            0.003801,                   0,            0.001189,            0.001189,            0.001189
                  91,             0.11746,           0.0068569,                   0,             0.77334,             0.58464,             0.63473,             0.22446,             0.10323,           0.0038008,                   0,             0.00109,             0.00109,             0.00109
                  92,             0.11729,           0.0068503,                   0,             0.77151,              0.5858,             0.63468,              0.2246,              0.1032,           0.0038002,                   0,            0.000991,            0.000991,            0.000991
                  93,             0.11746,            0.006863,                   0,             0.77143,             0.58566,             0.63474,             0.22504,             0.10318,           0.0037995,                   0,            0.000892,            0.000892,            0.000892
                  94,             0.11714,           0.0068795,                   0,              0.7697,             0.58655,             0.63449,             0.22527,             0.10316,           0.0037985,                   0,            0.000793,            0.000793,            0.000793
                  95,             0.11704,           0.0069063,                   0,             0.77031,             0.58663,             0.63503,             0.22549,             0.10314,           0.0037963,                   0,            0.000694,            0.000694,            0.000694
                  96,              0.1171,            0.006913,                   0,             0.77201,             0.58635,             0.63593,             0.22632,              0.1031,           0.0037953,                   0,            0.000595,            0.000595,            0.000595
                  97,             0.11698,           0.0069005,                   0,             0.77183,             0.58699,             0.63653,             0.22652,             0.10308,           0.0037959,                   0,            0.000496,            0.000496,            0.000496
                  98,              0.1169,           0.0068694,                   0,             0.77137,             0.58642,             0.63646,             0.22672,             0.10306,           0.0037953,                   0,            0.000397,            0.000397,            0.000397
                  99,              0.1166,           0.0068812,                   0,             0.77283,             0.58644,             0.63675,             0.22726,             0.10303,           0.0037948,                   0,            0.000298,            0.000298,            0.000298
